sample	reads	nuclear_fraction_tags	nuclear_fraction_annotation
GBM	245031212	234.9930169582367	323.1274654865265
HL	259239274	259.486444234848	346.6066725254059
GBM	245031212	249.47753643989563	330.3416166305542
HL	259239274	284.1344544887543	391.0033690929413
GBM	245031212	227.3748800754547	422.6948969364166
GBM	245031212	234.0674057006836	326.24065923690796
HL	259239274	222.02607536315918	302.0603823661804
HL	259239274	319.4875748157501	475.14638209342957
PBMC	684761309	572.8793358802795	608.121652841568
GBM	245031212	299.2444498538971	434.76650643348694
HL	259239274	294.50284481048584	441.6901171207428
HL	259239274	184.65216946601868	287.8840706348419
GBM	245031212	237.75504446029663	268.95522260665894
GBM	245031212	179.44835662841797	264.51070284843445
GBM	245031212	387.4140329360962	435.5150818824768
PBMC	684761309	696.6375775337219	919.2613248825073
GBM	245031212	273.1141686439514	252.0012662410736
HL	259239274	293.43380308151245	376.0478005409241
MB	1356454506	969.686404466629	1053.7790079116821
MB	1356454506	1021.7239072322845	978.0149965286255
HL	259239274	507.93685722351074	705.020140171051
GBM	245031212	331.06613945961	340.3488872051239
PBMC	684761309	1022.7478718757629	1063.877319574356
HL	259239274	289.7975640296936	352.85137248039246
HL	259239274	298.30784797668457	876.55237865448
PBMC	684761309	925.8719229698181	902.4683794975281
PBMC	684761309	716.3577842712402	685.9555687904358
MB	1356454506	935.9306979179382	1013.9324238300323
PBMC	684761309	795.4927399158478	1551.8876266479492
PBMC	684761309	969.5525050163269	923.9340379238129
MB	1356454506	1219.7737002372742	1408.3592298030853
PBMC	684761309	503.6917781829834	834.9757387638092
MB	1356454506	1007.854382276535	963.1281187534332
PBMC	684761309	577.0985164642334	690.4235649108887
PBMC	684761309	1274.5128836631775	841.7134482860565
MB	1356454506	870.2616159915924	894.8241684436798
MB	1356454506	1529.9205236434937	1516.2815418243408
MB	1356454506	1433.9615349769592	922.824077129364
MB	1356454506	840.6565437316895	917.3764498233795
MB	1356454506	1784.1194252967834	1247.8309688568115
